NAMA,NO_TEL,NO_FAKS,JENIS,TARIKH_DATA,NO,UNIT_TKT,BANGUNAN,JALAN,KG_TMN,BANDAR,POSKOD,DAERAH,NEGERI,X,Y
KLINIK PERGIGIAN BAYAN LEPAS,04-6438873,04-6435434,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN BAYAN LEPAS,JALAN DATO ISMAIL HASHIM,NA,BAYAN LEPAS,11900,DBD,PULAU PINANG,100.2619629,5.299840927
KLINIK PERGIGIAN TELUK BAHANG,04-8851951,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN TELUK BAHANG,NA,NA,TELUK BAHANG,11050,DBD,PULAU PINANG,100.2151108,5.455667496
KLINIK PERGIGIAN MAK MANDIN,04-3326967,04-3326967,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN MAK MANDIN,JALAN MAK MANDIN,MAK MANDIN,BUTTERWORTH,13400,SPU,PULAU PINANG,100.3891296,5.421144009
KLINIK PERGIGIAN BUTTERWORTH,04-3239831,04-3337444,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN BUTTERWORTH,JALAN PANTAI,BAGAN LUAR,BUTTERWORTH,12000,SPU,PULAU PINANG,100.3684158,5.406762123
KLINIK PERGIGIAN TASEK GELUGOR,04-5737821,04-5737821,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN TASEK GELUGOR,NA,NA,TASEK GELUGOR,13300,SPU,PULAU PINANG,100.4914703,5.484153271
KLINIK PERGIGIAN KEPALA BATAS,04-5753460,04-5753460,KLINIK PERGIGIAN,15/12/2014,NA,NA,PUSAT KESIHATAN BESAR,NA,NA,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4336395,5.516363621
KLINIK PERGIGIAN SUNGAI DUA,04-3564355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN SUNGAI DUA,JALAN PENGKALAN MACHANG,SUNGAI DUA,BUTTERWORTH,13800,SPU,PULAU PINANG,100.4307251,5.441710472
KLINIK PERGIGIAN PENAGA,04-5751430,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN PENAGA,JALAN PENAGA,PENAGA,KEPALA BATAS,13110,SPU,PULAU PINANG,100.3811111,5.533159256
KLINIK PERGIGIAN PAKAR BEDAH MULUT,04-2002212,04-2002212,KLINIK PERGIGIAN,15/12/2014,NA,NA,HOSPITAL PULAU PINANG,JALAN RESIDENSI,NA,GEORGE TOWN,10450,DTL,PULAU PINANG,100.3111267,5.416370869
KLINIK PERGIGIAN PAKAR PEDIATRIK,04-222 5211,04-2837981,KLINIK PERGIGIAN,07/02/2017,NA,NA,HOSPITAL PULAU PINANG,JALAN RESIDENSI,NA,GEORGE TOWN,10450,DTL,PULAU PINANG,100.3108215,5.41656208
KLINIK PERGIGIAN AIR ITAM,04-8288355,04-2837981,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN AIR ITAM,JALAN BUKIT BENDERA,NA,AYER ITAM,11500,DTL,PULAU PINANG,100.2822876,5.405658722
KLINIK PERGIGIAN JALAN PERAK,04-2813753,04-2837981,KLINIK PERGIGIAN,15/12/2014,LOT 808,NA,KLINIK KESIHATAN JALAN PERAK,JALAN PERAK,SEKSYEN 2,GEORGE TOWN,10400,DTL,PULAU PINANG,100.314827,5.402504444
KLINIK PERGIGIAN JALAN MACALISTER,04-2289479,04-2837981,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN JALAN MACALISTER,JALAN MACALISTER,NA,GEORGE TOWN,10400,DTL,PULAU PINANG,100.3260803,5.41506958
KLINIK PERGIGIAN BUKIT JAMBUL,04-6429572,04-2837981,KLINIK PERGIGIAN,15/12/2014,NA,BLOK H-G-5,KLINIK KESIHATAN BUKIT JAMBUL,JALAN TUN DR AWANG,"TAMAN BUKIT JAMBUL, BUKIT JAMBUL",BAYAN LEPAS,11900,DTL,PULAU PINANG,100.2892532,5.336452007
KLINIK PERGIGIAN TANJONG BUNGAH,04-8990953,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN TANJONG BUNGAH,NA,NA,TANJONG BUNGAH,11200,DTL,PULAU PINANG,100.2795792,5.462054253
KLINIK PERGIGIAN SUNGAI DUA,04-6422201,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN SUNGAI DUA,NA,NA,SUNGAI DUA,11700,DTL,PULAU PINANG,100.2974854,5.344109058
KLINIK PERGIGIAN SUNGAI ACHEH,04-5982729,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN SUNGAI ACHEH,JALAN SUNGAI ACHEH,SUNGAI ACHEH,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4226151,5.15023613
KLINIK PERGIGIAN SIMPANG AMPAT,04-5887355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN BANDAR TASEK MUTIARA,JALAN TASEK MUTIARA,BANDAR TASEK MUTIARA,SIMPANG AMPAT,14100,SPS,PULAU PINANG,100.4920502,5.281577587
KLINIK PERGIGIAN NIBONG TEBAL,04-5931355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN NIBONG TEBAL,JALAN KLINIK,NA,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4737854,5.163600922
KLINIK PERGIGIAN BUKIT PANCHOR,04-5942937,04-5941349,KLINIK PERGIGIAN,15/12/2014,C/O PEJ. PERGIGIAN DAERAH,NA,KLINIK KESIHATAN BUKIT PANCHOR,JALAN BUKIT PANCHOR,BUKIT PANCHOR,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4928436,5.16665411
KLINIK PERGIGIAN PRAI,04-3901477,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN PRAI,NA,NA,PRAI,13700,SPT,PULAU PINANG,100.3881912,5.38371706
KLINIK PERGIGIAN BERAPIT,04-5071355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN BERAPIT,NA,BERAPIT,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4745178,5.376434326
KLINIK PERGIGIAN KUBANG SEMANG,04-5371004,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN KUBANG SEMANG,NA,KUBANG SEMANG,BUKIT MERTAJAM,14400,SPT,PULAU PINANG,100.4639053,5.397496223
KLINIK PERGIGIAN HOSPITAL BUKIT MERTAJAM,04-5383355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,HOSPITAL BUKIT MERTAJAM,JALAN KULIM,NA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4645844,5.359922886
KLINIK PERGIGIAN BUKIT MINYAK,04-5071355,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,KLINIK KESIHATAN BUKIT MINYAK,NA,BUKIT MINYAK,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4484558,5.326694012
KLINIK PERGIGIAN SEBERANG JAYA,04-3907487,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,POLIKLINIK KOMUNITI SEBERANG JAYA,JALAN PERPUSTAKAAN,BANDAR SUNWAY,SEBERANG JAYA,13700,SPT,PULAU PINANG,100.3984375,5.393566132
KLINIK PAKAR BEDAH MULUT,04-3862216,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,HOSPITAL SEBERANG JAYA,JALAN TUN HUSSEIN ONN,SEBERANG JAYA,PERAI,13700,SPT,PULAU PINANG,100.4082718,5.394414902
KLINIK KOMUNITI TAMAN SERI GENTING ,04-866 2531,TIADA,KLINIK KOMUNITI,26/09/2019,NA,NO. 22,NA,NA,TAMAN SERI GENTING,BALIK PULAU,11000,DBD,PULAU PINANG,100.2226105,5.336849213
KLINIK KOMUNITI BAGAN DALAM,04-323 3751,TIADA,KLINIK KOMUNITI,26/09/2019,NA,A-G-03 & A-G-05,NA,NA,RUMAH PANGSA SRI BAGAN,BUTTERWORTH,12100,SPU,PULAU PINANG,100.3714981,5.392530918
KLINIK KOMUNITI PENANG TIMES SQUARE,04-226 5486,TIADA,KLINIK KOMUNITI,26/09/2019,NA,"LOT 77-3-16 &17 ,TINGKAT 3",PENANG TIMES SQUARE,JALAN DATUK KERAMAT,NA,GEORGE TOWN,10150,DTL,PULAU PINANG,100.3250809,5.412565231
KLINIK KOMUNITI SIMPANG AMPAT,04-5024915 ,TIADA,KLINIK KOMUNITI,26/09/2019,NA,NO. 81 ,NA,LORONG 1/SS1 ,BANDAR TASEK MUTIARA ,SIMPANG AMPAT ,14120,SPS,PULAU PINANG,100.4829025,5.283827305
KLINIK KOMUNITI TAMAN MERBAU JAYA ,04 3562087,TIADA,KLINIK KOMUNITI,26/09/2019,NA,NO. 8 ,NA,LORONG MERBAU JAYA 1 ,"TAMAN MERBAU JAYA, SUNGAI DUA",BUTTERWORTH ,13800,SPU,PULAU PINANG,100.4321747,5.45135355
KLINIK KOMUNITI TAMAN PERWIRA ,04- 5021548,TIADA,KLINIK KOMUNITI,26/09/2019,NA,NO. 49,NA,LORONG PERWIRA INDAH 1 ,TAMAN PERWIRA INDAH,BUKIT MERTAJAM,14100,SPT,PULAU PINANG,100.4768982,5.299530983
KLINIK KOMUNITI TAMAN SERI DELIMA , 04-5040467 ,TIADA,KLINIK KOMUNITI,26/09/2019,NA,NO. G-25 ,NA,JALAN DELIMA 3 ,TAMAN SERI DELIMA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4369278,5.316559792
KLINIK PERGIGIAN SUNGAI BAKAP,04-5824333,TIADA,KLINIK PERGIGIAN,15/12/2014,NA,NA,HOSPITAL SUNGAI BAKAP,NA,SUNGAI JAWI,SEBERANG PERAI SELATAN,14200,SPS,PULAU PINANG,100.4973221,5.219796181
KLINIK DESA PERMATANG PASIR,04-3981404,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG PASIR,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.437973,5.415272236
KLINIK KESIHATAN KUALA MUDA,04-5793405,04-5754433,KLINIK KESIHATAN,13/10/2022,NA,NA,NA,NA,KUALA MUDA,PENAGA,13110,SPU,PULAU PINANG,100.3411026,5.572142601
KLINIK KESIHATAN UTC,TIADA,TIADA,KLINIK KESIHATAN,13/10/2022,NA,2B-2-06,KOMTAR,LEBUH TEK SOON,NA,GEORGE TOWN,10590,DTL,PULAU PINANG,100.3304138,5.415407658
