NAMA,NO_TEL,NO_FAKS,JENIS,TARIKH_DATA,NO,UNIT_TKT,BANGUNAN,JALAN,KG_TMN,BANDAR,POSKOD,DAERAH,NEGERI,X,Y
KLINIK DESA TELUK KUMBAR,04-6495606,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,TELUK KUMBAR,BAYAN LEPAS,11920,DBD,PULAU PINANG,100.2299347,5.287381649
KLINIK DESA PERMATANG DAMAR LAUT,04-6265102,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG DAMAR LAUT,BAYAN LEPAS,11900,DBD,PULAU PINANG,100.2694473,5.273728848
KLINIK KESIHATAN BAYAN LEPAS,04-6435434,04-6433967,KLINIK KESIHATAN,13/10/2022,LOT 1157,NA,NA,JALAN DATO ISMAIL HASHIM,MUKIM 12,BAYAN LEPAS,11900,DBD,PULAU PINANG,100.26194,5.299691677
KLINIK DESA SUNGAI ARA,04-6452488,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI ARA,BAYAN LEPAS,11900,DBD,PULAU PINANG,100.274231,5.318239212
KLINIK DESA RELAU,04-6449230,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,RELAU,BAYAN LEPAS,11900,DBD,PULAU PINANG,100.2768555,5.330970287
KLINIK DESA SUNGAI BATU,04-6495673,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI BATU,BAYAN LEPAS,11920,DBD,PULAU PINANG,100.2418289,5.287095547
KLINIK DESA BATU FERRINGGI,04-8813814,TIADA,KLINIK DESA,31/12/2013,NA,1918,NA,JALAN BATU FERRINGGI,BATU FERRINGGI,PULAU PINANG,12100,DTL,PULAU PINANG,100.2479553,5.473235607
KLINIK KESIHATAN TANJONG BUNGAH,04-8990953,04-2819500,KLINIK KESIHATAN,13/10/2022,NA,NA,NA,NA,NA,TANJONG BUNGAH,11200,DTL,PULAU PINANG,100.2795639,5.461997032
KLINIK KESIHATAN AIR ITAM,04-8283355,04-2819500,KLINIK KESIHATAN,13/10/2022,LOT 322,NA,NA,JALAN BUKIT BENDERA,SEKSYEN 3,AYER ITAM,11500,DTL,PULAU PINANG,100.2822952,5.405697346
KLINIK DESA PAYA TERUBONG,04-8275919,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN PAYA TERUBONG,PAYA TERUBONG,AYER ITAM,11500,DTL,PULAU PINANG,100.2769623,5.397758484
